acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13784,-1460,-30,16798
4095,4095,13784,-1460,-30,16798
4095,4095,13785,-1478,-50,16708
4095,4095,13785,-1478,-50,16708
4095,4095,13786,-1440,20,16768
4095,4095,13786,-1440,20,16768
4095,4095,13787,-1452,-14,16804
4095,4095,13787,-1452,-14,16804
4095,4095,13788,-1480,-20,16716
4095,4095,13788,-1480,-20,16716
4095,4095,13789,-1446,-8,16714
4095,4095,13789,-1446,-8,16714
4095,4095,13790,-1462,-54,16750
4095,4095,13790,-1462,-54,16750
4095,4095,13791,-1498,-20,16650
4095,4095,13791,-1498,-20,16650
4095,4095,13792,-1480,-36,16712
4095,4095,13792,-1480,-36,16712
4095,4095,13793,-1462,-24,16768
4095,4095,13793,-1462,-24,16768
4095,4095,13794,-1444,-30,16726
4095,4095,13794,-1444,-30,16726
4095,4095,13795,-1450,-56,16720
4095,4095,13795,-1450,-56,16720
4095,4095,13796,-1462,18,16790
4095,4095,13796,-1462,18,16790
4095,4095,13797,-1474,-24,16670
4095,4095,13797,-1474,-24,16670
4095,4095,13798,-1498,-22,16630
4095,4095,13798,-1498,-22,16630
4095,4095,13799,-1478,-30,16726
4095,4095,13799,-1478,-30,16726
4095,4095,13800,-1486,-4,16664
4095,4095,13800,-1486,-4,16664
4095,4095,13801,-1526,16,16656
4095,4095,13801,-1526,16,16656
4095,4095,13802,-1476,-28,16810
4095,4095,13802,-1476,-28,16810
4095,4095,13803,-1468,-38,16730
4095,4095,13803,-1468,-38,16730
4095,4095,13804,-1500,2,16760
4095,4095,13804,-1500,2,16760
4095,4095,13805,-1526,16,16946
4095,4095,13805,-1526,16,16946
4095,4095,13806,-1466,-38,16780
4095,4095,13806,-1466,-38,16780
4095,4095,13807,-1460,8,16656
4095,4095,13807,-1460,8,16656
4095,4095,13808,-1502,-8,16730
4095,4095,13808,-1502,-8,16730
4095,4095,13809,-1506,4,16626
4095,4095,13809,-1506,4,16626
4095,4095,13810,-1456,8,16622
4095,4095,13810,-1456,8,16622
4095,4095,13811,-1452,-4,16794
4095,4095,13811,-1452,-4,16794
4095,4095,13812,-1436,-34,16720
4095,4095,13812,-1436,-34,16720
4095,4095,13813,-1456,-4,16678
4095,4095,13813,-1456,-4,16678
4095,4095,13814,-1484,-34,16796
4095,4095,13814,-1484,-34,16796
4095,4095,13815,-1466,6,16766
4095,4095,13815,-1466,6,16766
4095,4095,13816,-1476,-30,16700
4095,4095,13816,-1476,-30,16700
4095,4095,13817,-1518,-58,16806
4095,4095,13817,-1518,-58,16806
4095,4095,13818,-1462,-52,16566
4095,4095,13818,-1462,-52,16566
4095,4095,13819,-1446,-66,16606
